breakpoint_index,date,n_signals_voting,weighted_vote,confidence,vol_change,vol_before,vol_after,vol_ratio,return_change,return_volatility,volume_change,range_vol
2500,2016-06-23 10:00:00,2,0.55,0.5779986950511826,1.784500990170749,0.002043552692599283,0.006462181873172107,3.162228985018086,0.00048797374580028313,0.006089435313908186,0.0,0.026316393562559232
2501,2016-06-23 11:00:00,2,0.55,0.5787149995702752,1.7593940015538334,0.001965143864826188,0.006819296512299724,3.4701256673084884,0.0017281388148144648,0.006093887143246495,0.0,0.025836163138328695
2510,2016-06-24 13:00:00,2,0.55,0.5737172533776914,0.2910257272011442,0.0030046567188122186,0.007449300379797066,2.479251651355603,0.0014867343840007077,0.006155236381342065,0.0,0.035685498816465926
2525,2016-06-28 14:00:00,2,0.55,0.5165120737803335,0.425765543704817,0.008205957477023173,0.0029992448829500888,0.3654960258810048,5.955280114418966e-05,0.006317958550818077,0.0,0.045424731806483994
3140,2016-11-08 13:00:00,2,0.5,0.5862833510721921,2.3741909651921436,0.0025472393969313252,0.006863175226082559,2.6943580430307663,0.002947285953324247,0.006153155665656006,0.0,0.031757441695216326
3142,2016-11-08 15:00:00,2,0.5,0.5910268122137436,2.2893782050258387,0.002560670871900422,0.007445027286331863,2.9074517452769335,0.0037817050791869485,0.006152494965540355,0.0,0.03068688509578325
8840,2020-02-26 15:00:00,3,0.65,0.6695268399796359,1.4470926365128123,0.0030673937900139434,0.005659047470878226,1.8449040696408576,0.00026984080176405655,0.005897377590995256,0.0,0.0399824257264346
8845,2020-02-27 13:00:00,3,0.75,0.7426251387208251,1.7353238642686215,0.002968737349432047,0.007070184834307054,2.3815460123156598,0.01072317258732048,0.006415970078080219,0.0,0.04143810677136996
8848,2020-02-28 09:00:00,2,0.5,0.5965034728706838,1.1091955468179029,0.0029760499550323953,0.007947787657635508,2.6705826550854144,0.0003581501497732726,0.006613865432507305,0.0,0.03944352536279499
8890,2020-03-09 09:00:00,3,0.75,0.6813644097997826,1.157395904403389,0.006543504104139185,0.01222135626639528,1.867708170595274,0.016620200006370288,0.01214824353368412,0.0,0.06892227043960959
8900,2020-03-11 12:00:00,3,0.6,0.6791531635589304,5.820238416629274,0.00899079320174437,0.023548853314571613,2.6192186300181906,0.008003544892674892,0.02763753309613323,0.0,0.09239822210552172
8905,2020-03-12 10:00:00,3,0.65,0.7012728938008399,3.928161021623387,0.010372758384170995,0.030201637858152365,2.911630296245746,0.013256299808023763,0.027498477510044025,0.0,0.09259361279199267
8910,2020-03-12 15:00:00,4,0.85,0.8392282502146247,2.2972077822016823,0.01222135626639528,0.035702034742512025,2.9212825215277176,0.019372984696627432,0.02757044194734737,0.0,0.1186608970111511
8911,2020-03-13 09:00:00,3,0.55,0.6699487665314992,1.4227021276551053,0.012359482930721737,0.036846401777146355,2.981225160110495,0.008748526342192154,0.02714191641863054,0.0,0.1168540476844278
8935,2020-03-18 12:00:00,3,0.65,0.5925872324160126,0.1638148634816017,0.03372399419305523,0.019546598483857244,0.5796050821857264,0.01843041988897172,0.023373415230987824,0.0,0.1726042816996536
8945,2020-03-19 15:00:00,4,0.85,0.6773059973458406,0.31853667259919927,0.022882375225568734,0.025404412012076272,1.1102174337508317,0.024114098151313105,0.022381005523679956,0.0,0.2036258779393579
8950,2020-03-20 13:00:00,3,0.75,0.620069172182554,0.3216942569375372,0.018747875100487813,0.02653368668898733,1.4152903411847402,0.04101656145559645,0.022516225751039336,0.0,0.2152154960165582
8953,2020-03-23 09:00:00,3,0.75,0.6367248679225268,0.3262109985111971,0.017947854862197486,0.02712143851593681,1.5111242303362213,0.006401564559205776,0.023003319592698794,0.0,0.2157360510572332
8970,2020-03-25 12:00:00,3,0.65,0.5862170730926493,0.16729601484194365,0.02653368668898733,0.016837125619346815,0.6345565828543275,0.0035089531394570453,0.021343128783158343,0.0,0.2481923643247604
8985,2020-03-27 13:00:00,3,0.55,0.5087903703795423,0.6430932481783121,0.018564653984203656,0.015410200016869005,0.8300827985791169,0.006934487509994146,0.014488911948013529,0.0,0.20640271108914332
8995,2020-03-31 09:00:00,3,0.6,0.5607673978299744,0.44069736848769014,0.016105977220247217,0.01095826358137428,0.6803848883854058,0.0017735699014324708,0.011994841147133447,0.0,0.17396780777469928
9120,2020-04-29 15:00:00,2,0.55,0.5931865692745083,1.3662662161568866,0.0050299916825036865,0.010679024051836874,2.1230698803490635,0.029344059032129187,0.009850769170971257,0.0,0.05589439109671094
9125,2020-04-30 13:00:00,3,0.75,0.7302774783378008,1.1690457127737588,0.005123599440879961,0.012211757649788234,2.383433278177495,0.0011272387679492019,0.009894276824048417,0.0,0.05603807001475486
10450,2021-01-29 15:00:00,3,0.55,0.637538032803752,1.0141319509506916,0.0035407025777274962,0.006364240491451232,1.7974512605887447,0.006400889196883331,0.006262605347470942,0.0,0.05740502762656755
10452,2021-02-01 10:00:00,3,0.55,0.6628705396373246,1.074970761735053,0.0035064561127652666,0.0067657676220592485,1.9295172138264403,0.0023154536261987425,0.006127351067428833,0.0,0.06033577049119798
10460,2021-02-02 11:00:00,3,0.55,0.5959118680404075,0.264829591339121,0.004257473125275834,0.006998152178488015,1.643733690899399,0.0013679624686289433,0.005811144767983325,0.0,0.09215507409076298
12135,2022-01-21 11:00:00,3,0.65,0.6826461353591019,2.304409234346739,0.0026130704970321436,0.004763735401867443,1.8230412172093502,0.006201819084369875,0.004795601617590689,0.0,0.044706007905077075
12290,2022-02-23 12:00:00,3,0.75,0.7443934956773153,2.808906084297083,0.0038284738879193884,0.008648754937838347,2.2590606505696997,0.007089945402548038,0.008165111392360758,0.0,0.047907007405057364
12292,2022-02-23 14:00:00,3,0.75,0.746330501982765,2.6574601893059393,0.004040139933881448,0.009230562641387233,2.2847135406143924,0.0010161241506898013,0.008236458462919123,0.0,0.04619122187532867
12300,2022-02-24 15:00:00,3,0.75,0.6682955350123213,0.8146753520844908,0.005897236045984359,0.009746993052686953,1.6528069779474632,0.014796408159192613,0.00833908817859761,0.0,0.05729421420550275
12370,2022-03-11 15:00:00,3,0.6,0.5703476469611448,0.47788760612692216,0.006485724408385886,0.004170202823689612,0.6429818007683861,0.004461265484862612,0.004828854937111659,0.0,0.060092160442134036
17660,2025-04-03 14:00:00,2,0.55,0.5815649138998555,3.1682464770092817,0.0033312728994945974,0.006851228156730714,2.0566396563026044,0.001266517573746618,0.007748803312732602,0.0,0.03626208983999604
17665,2025-04-04 12:00:00,3,0.75,0.7305868461123642,2.0754515476966606,0.0032857877914914077,0.008788112738678152,2.6745830920599256,0.002670264558564339,0.007643966668157729,0.0,0.0290192711424647
17670,2025-04-07 10:00:00,4,0.9,0.8640737950547859,0.7442222753775284,0.003507568419127793,0.010084878631626685,2.875176515193047,0.019608165247803386,0.007614708803675439,0.0,0.03677604795020335
17674,2025-04-07 14:00:00,3,0.6,0.6805794736759958,0.6697451905900553,0.004774360935751013,0.009293978594508541,1.9466434408529365,0.0032628580112176305,0.00817820360880315,0.0,0.047295130018930966
17705,2025-04-16 10:00:00,3,0.65,0.578433720034905,0.7366344567959138,0.0068617472350323335,0.004320422936908949,0.6296388843773407,0.0009131261262658927,0.004567881011991963,0.0,0.027533934081707047
17707,2025-04-16 12:00:00,3,0.65,0.5809669159364631,0.7328786388192323,0.0063910207345831875,0.0040033595898495995,0.6264037770283208,0.0007680091916281704,0.004561046139607765,0.0,0.02809398966824207
